metrics_id,date,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,on_time_delivery_rate,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,customer_satisfaction_score,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score,created_at
SCM68391,2025-02-16T09:10:03,WH336,SUP1773,8.22,96.64,3,53706.42,0.979,7.75,0.897,0.956,4.5,85.35,23937.96,83773.7,10.17,12676.17,0.38,4.3,1.5,5544.75,17.31,4.9,2025-10-04T21:15:16.918949
SCM90214,2025-05-03T23:24:34,WH688,SUP5362,6.7,96.29,5,95373.65,0.939,6.99,0.927,0.97,4.5,94.98,43987.41,96777.72,11.33,8167.1,1.81,5.0,2.94,5716.47,18.7,4.4,2025-10-04T21:15:16.919009
SCM85615,2025-03-12T10:27:08,WH415,SUP2033,7.72,98.82,4,89302.24,0.96,9.19,0.959,0.969,4.8,94.48,31668.76,34337.67,10.38,17508.13,1.2,4.1,0.88,3567.84,17.85,4.5,2025-10-04T21:15:16.919066
SCM43607,2025-03-10T06:34:24,WH106,SUP6691,9.91,95.04,7,92222.75,0.934,9.3,0.969,0.969,4.8,93.97,42649.45,11630.76,11.15,19608.42,1.66,4.6,1.07,5949.72,16.58,3.2,2025-10-04T21:15:16.919123
SCM92784,2025-03-23T16:50:57,WH755,SUP6034,8.33,96.96,7,87672.97,0.958,9.65,0.967,0.965,4.1,86.81,41955.95,82796.81,11.59,15951.37,0.34,4.1,1.82,7534.61,14.24,3.3,2025-10-04T21:15:16.919180
SCM92584,2025-05-16T17:04:28,WH532,SUP7775,10.5,97.4,0,72986.05,0.925,7.18,0.951,0.989,4.0,89.81,23888.22,71682.05,7.99,12301.41,0.2,4.8,1.96,6765.93,18.39,4.5,2025-10-04T21:15:16.919236
SCM12473,2025-05-09T02:41:08,WH737,SUP6466,11.28,99.03,2,34675.88,0.946,7.47,0.897,0.96,3.7,89.09,22689.15,14542.5,9.04,10432.02,1.92,4.6,1.8,8123.21,22.35,3.3,2025-10-04T21:15:16.919292
SCM33255,2025-02-17T03:32:08,WH260,SUP7085,5.3,96.05,0,99127.75,0.962,8.39,0.932,0.972,3.6,91.01,40802.08,26563.18,10.4,18510.28,0.95,4.3,2.67,4908.07,13.92,4.3,2025-10-04T21:15:16.919354
SCM25986,2025-03-30T10:48:57,WH673,SUP9892,4.13,98.21,0,83326.94,0.97,8.21,0.967,0.96,4.0,97.93,42956.16,42687.27,11.01,18654.93,1.01,4.3,1.96,3422.71,23.22,4.1,2025-10-04T21:15:16.919428
SCM20758,2025-02-27T11:35:32,WH829,SUP1766,5.78,98.37,10,29698.06,0.923,8.99,0.924,0.968,4.3,90.16,5510.28,21620.42,7.69,10392.08,1.99,4.4,1.1,2644.13,22.95,4.2,2025-10-04T21:15:16.919486
SCM80455,2025-05-14T04:51:01,WH214,SUP3007,7.35,97.12,0,29738.91,0.958,7.78,0.892,0.959,3.9,96.8,6831.22,55508.88,10.48,6979.35,0.43,4.0,2.22,9262.85,19.99,3.3,2025-10-04T21:15:16.919542
SCM98114,2025-06-28T13:36:57,WH260,SUP9877,9.71,96.5,8,54468.41,0.969,7.98,0.898,0.959,4.8,93.03,16777.1,51472.17,11.6,11273.31,1.3,4.7,0.87,2595.03,15.42,3.6,2025-10-04T21:15:16.919598
SCM93971,2025-06-03T01:55:39,WH630,SUP3654,4.17,96.0,2,65486.7,0.949,6.76,0.893,0.964,4.0,95.02,14620.94,12325.54,6.43,8773.15,1.88,4.6,1.44,2946.86,11.57,4.1,2025-10-04T21:15:16.919654
SCM22136,2025-05-07T12:00:30,WH750,SUP6069,4.16,95.18,10,44373.2,0.956,6.49,0.921,0.98,3.9,92.87,43578.35,80891.81,7.81,14197.45,0.28,4.3,1.57,1578.83,13.89,3.5,2025-10-04T21:15:16.919711
SCM29128,2025-04-16T04:34:32,WH635,SUP8568,4.08,96.65,7,75161.93,0.92,4.51,0.912,0.952,4.4,90.11,7131.12,26633.49,9.91,16600.99,0.48,4.5,0.65,3428.63,10.82,3.6,2025-10-04T21:15:16.919767
SCM78335,2025-04-09T12:02:52,WH552,SUP7068,10.21,97.34,10,64586.31,0.969,4.09,0.921,0.972,3.7,85.5,44249.89,56104.45,8.32,12304.83,1.67,4.2,0.98,6445.72,16.99,5.0,2025-10-04T21:15:16.919825
SCM48544,2025-03-13T05:37:55,WH960,SUP5322,6.45,96.78,6,76600.35,0.989,3.42,0.915,0.955,4.8,95.86,48047.92,49014.74,11.39,17923.6,0.41,4.9,2.49,5975.57,15.11,3.1,2025-10-04T21:15:16.919880
SCM90501,2025-06-23T10:05:09,WH570,SUP7901,10.09,95.98,5,72279.0,0.956,6.13,0.913,0.96,4.6,89.57,41182.94,78052.03,6.5,12544.06,0.13,4.9,2.39,5663.91,23.05,4.0,2025-10-04T21:15:16.919936
SCM37099,2025-06-13T13:39:16,WH157,SUP2062,7.51,96.24,1,30593.04,0.947,8.79,0.899,0.952,4.7,85.62,23186.86,92986.19,11.17,18023.21,1.61,4.8,1.52,2278.97,24.51,3.1,2025-10-04T21:15:16.919991
SCM95250,2025-05-14T19:25:42,WH618,SUP5071,10.97,98.37,5,17719.6,0.927,3.18,0.943,0.978,5.0,89.29,34261.59,88866.6,11.82,4638.0,1.3,4.9,1.43,9163.91,12.34,4.0,2025-10-04T21:15:16.920047
SCM72401,2025-05-26T15:33:15,WH179,SUP5329,7.76,97.15,4,45691.57,0.946,3.93,0.947,0.981,4.1,85.95,13889.25,41142.86,11.92,19939.96,1.64,4.7,2.12,7410.49,16.97,4.6,2025-10-04T21:15:16.920108
SCM50300,2025-04-22T02:21:55,WH745,SUP8779,4.18,99.5,9,45770.47,0.987,8.76,0.931,0.97,3.9,87.4,38862.67,82579.56,10.95,19586.73,1.64,4.1,2.2,4292.76,18.17,4.2,2025-10-04T21:15:16.920165
SCM52310,2025-03-25T11:06:47,WH617,SUP6306,6.33,95.49,7,24424.61,0.921,6.2,0.943,0.971,4.6,96.19,25264.05,31812.79,11.59,4457.62,0.69,4.4,1.87,2441.93,22.49,4.2,2025-10-04T21:15:16.920220
SCM20018,2025-03-23T15:49:36,WH160,SUP3702,8.61,97.73,3,50458.43,0.977,6.86,0.909,0.983,4.1,91.31,8300.35,13297.26,8.2,9834.33,0.33,4.8,1.31,3011.17,6.01,4.1,2025-10-04T21:15:16.920276
SCM75018,2025-06-04T12:42:23,WH241,SUP2287,11.11,96.19,9,47651.16,0.95,5.72,0.891,0.973,4.9,89.54,26105.27,47572.93,6.92,11814.37,1.17,4.1,1.5,7218.47,13.12,3.1,2025-10-04T21:15:16.920338
SCM39342,2025-06-24T05:37:19,WH981,SUP6289,9.9,96.14,0,75399.41,0.978,4.73,0.957,0.957,4.1,96.48,18829.96,19614.41,9.63,4005.09,1.16,4.1,1.08,5149.62,13.12,3.7,2025-10-04T21:15:16.920395
SCM95684,2025-06-18T15:49:18,WH681,SUP7015,8.66,98.55,8,69161.02,0.935,3.87,0.951,0.969,4.4,86.29,11315.51,29701.3,6.47,8246.19,0.34,5.0,2.95,3068.6,15.23,3.3,2025-10-04T21:15:16.920450
SCM62896,2025-02-08T22:32:43,WH100,SUP1995,5.42,97.19,3,62248.33,0.93,3.67,0.966,0.953,3.7,89.19,38066.7,88899.8,10.09,14213.12,0.76,4.8,2.37,7058.88,23.63,3.7,2025-10-04T21:15:16.920506
SCM89620,2025-03-11T19:29:57,WH217,SUP6413,11.36,95.49,3,15990.02,0.948,4.47,0.917,0.962,3.9,89.8,20558.32,36997.09,6.37,8266.92,1.46,4.1,2.15,8647.8,7.96,3.9,2025-10-04T21:15:16.920562
SCM92603,2025-03-25T11:35:35,WH825,SUP6427,7.43,97.61,4,30181.81,0.957,5.5,0.882,0.957,3.5,87.75,6638.11,91140.71,9.92,14840.21,1.62,5.0,0.79,8708.79,13.05,4.8,2025-10-04T21:15:16.920623
SCM79668,2025-04-05T19:38:54,WH813,SUP5823,8.66,99.02,8,22458.86,0.934,8.48,0.915,0.952,4.7,96.78,9133.41,91165.51,8.94,12596.86,1.62,4.9,1.86,6847.68,20.85,3.1,2025-10-04T21:15:16.920680
SCM23681,2025-05-28T20:03:23,WH186,SUP5340,4.99,95.12,8,66400.87,0.949,9.18,0.969,0.976,3.8,85.92,13100.59,69833.08,6.28,3870.0,1.36,4.6,1.9,3535.73,9.14,3.1,2025-10-04T21:15:16.920736
SCM60297,2025-05-07T18:09:05,WH330,SUP7724,7.66,98.86,5,96824.52,0.943,8.48,0.903,0.98,4.7,87.97,46179.69,72842.18,10.19,5243.42,1.81,4.7,2.59,8683.39,7.36,3.1,2025-10-04T21:15:16.920792
SCM53877,2025-03-21T10:46:44,WH677,SUP7761,9.14,98.41,4,87833.28,0.975,3.17,0.962,0.959,4.7,91.62,44582.38,37304.86,10.94,10859.84,1.22,4.5,0.56,9972.64,5.82,3.7,2025-10-04T21:15:16.920848
SCM46225,2025-05-01T16:10:13,WH272,SUP3941,6.02,99.21,7,84995.66,0.959,7.41,0.895,0.988,4.3,97.19,35768.64,94888.04,7.62,15154.0,0.26,4.4,2.2,7145.97,16.21,4.4,2025-10-04T21:15:16.920904
SCM22315,2025-05-09T07:35:34,WH436,SUP7009,5.88,98.64,5,34331.06,0.951,3.82,0.918,0.963,4.4,97.85,11767.27,18753.88,6.32,5936.4,1.03,4.6,2.65,6662.35,13.92,4.8,2025-10-04T21:15:16.920960
SCM16858,2025-05-26T07:08:37,WH821,SUP6987,10.75,98.42,4,31388.99,0.934,8.69,0.926,0.989,4.4,93.17,42767.75,98254.26,9.21,12668.81,0.42,4.6,2.71,8009.18,8.25,3.3,2025-10-04T21:15:16.921016
SCM74342,2025-06-11T02:25:52,WH802,SUP3564,9.03,97.87,7,51318.35,0.924,4.12,0.965,0.986,4.8,96.13,32860.88,43482.64,6.98,17654.24,0.48,4.7,1.35,7806.81,21.22,4.7,2025-10-04T21:15:16.921071
SCM57782,2025-04-01T10:29:37,WH465,SUP9923,10.76,96.74,1,96323.15,0.949,3.53,0.916,0.957,3.6,89.72,11972.16,59154.69,7.49,7928.66,0.54,4.1,1.32,9434.14,13.8,3.1,2025-10-04T21:15:16.921126
SCM70526,2025-05-05T07:30:36,WH755,SUP2983,11.74,96.73,6,58807.73,0.962,2.22,0.912,0.989,4.9,86.85,16823.91,90982.61,6.19,9897.04,0.14,4.2,1.69,6829.97,21.59,4.8,2025-10-04T21:15:16.921182
SCM89974,2025-02-10T21:03:40,WH965,SUP3743,8.03,96.52,2,63626.71,0.98,2.81,0.962,0.977,3.6,90.22,33395.12,20305.06,11.7,6624.38,0.68,4.2,2.54,4751.2,10.63,4.6,2025-10-04T21:15:16.921239
SCM10096,2025-04-11T18:20:25,WH601,SUP7057,4.37,96.91,9,14613.3,0.927,5.49,0.906,0.96,4.7,92.66,30194.0,18962.2,10.02,12727.74,0.87,4.8,0.69,5868.95,20.85,4.7,2025-10-04T21:15:16.921296
SCM10592,2025-05-10T13:02:39,WH224,SUP5684,11.53,98.13,1,12238.53,0.931,6.39,0.949,0.962,4.2,89.7,47651.97,77354.93,9.33,8059.49,0.3,4.2,2.0,2711.17,12.69,4.4,2025-10-04T21:15:16.921354
SCM30938,2025-03-06T17:22:40,WH422,SUP5804,11.18,99.41,2,13909.86,0.922,4.2,0.95,0.985,4.5,96.02,18933.89,38013.84,9.79,13321.19,0.73,4.4,2.15,5331.53,8.58,3.8,2025-10-04T21:15:16.921413
SCM24287,2025-02-26T17:25:48,WH906,SUP8718,6.38,98.2,4,16991.25,0.982,4.4,0.947,0.99,3.9,87.24,49388.21,87963.31,10.43,10420.19,1.94,4.8,1.1,4867.31,11.48,4.3,2025-10-04T21:15:16.921469
SCM40925,2025-06-29T03:36:44,WH697,SUP3465,5.75,95.03,0,80317.29,0.947,2.21,0.946,0.953,4.3,90.91,7204.57,91151.15,8.74,15382.32,0.83,4.4,2.46,5953.62,15.96,4.7,2025-10-04T21:15:16.921525
SCM16368,2025-06-01T02:56:29,WH658,SUP3364,4.23,98.97,10,69123.47,0.922,3.09,0.912,0.982,4.9,86.46,35402.75,23563.08,7.77,5644.79,1.42,4.6,2.87,7030.23,15.84,4.0,2025-10-04T21:15:16.921580
SCM26201,2025-05-24T14:15:59,WH577,SUP3681,5.99,97.97,4,18906.39,0.988,3.55,0.948,0.969,4.5,94.83,20961.58,58911.7,8.66,10578.06,1.46,4.4,1.29,4249.52,19.31,3.0,2025-10-04T21:15:16.921637
SCM95131,2025-04-27T19:19:07,WH944,SUP6370,7.7,97.12,10,74542.53,0.949,9.55,0.925,0.964,4.9,96.63,36861.16,63398.09,7.16,19885.72,0.97,4.9,0.8,6640.39,13.44,4.5,2025-10-04T21:15:16.921693
SCM81550,2025-05-10T15:46:23,WH604,SUP4272,5.55,98.57,9,25672.04,0.961,2.88,0.962,0.954,3.7,96.57,40751.74,44836.47,7.26,15035.53,0.46,4.6,1.86,4881.19,10.05,4.9,2025-10-04T21:15:16.921749
SCM73646,2025-05-27T10:14:51,WH718,SUP1406,7.11,96.68,3,16668.39,0.941,2.04,0.93,0.978,4.2,88.31,19088.9,65457.93,8.69,11448.19,0.89,4.7,0.61,6831.77,10.62,3.2,2025-10-04T21:15:16.921805
SCM72835,2025-05-28T12:41:05,WH100,SUP1197,10.51,98.34,3,37544.38,0.938,9.3,0.907,0.951,4.7,89.48,27798.23,12343.26,8.06,16925.48,1.38,4.4,2.01,8905.55,19.14,3.4,2025-10-04T21:15:16.921861
SCM82305,2025-03-13T23:36:41,WH484,SUP2504,5.9,98.93,9,44725.66,0.964,8.93,0.912,0.976,3.6,93.42,42934.69,25000.83,11.24,14075.95,1.79,4.5,2.34,6574.37,9.54,5.0,2025-10-04T21:15:16.921916
SCM25086,2025-02-28T19:00:28,WH482,SUP3400,10.54,96.16,1,71675.72,0.957,6.65,0.931,0.978,4.0,85.82,8506.83,71145.89,6.86,18967.89,1.78,4.9,1.74,3873.02,19.32,3.2,2025-10-04T21:15:16.921971
SCM84929,2025-04-17T04:42:31,WH446,SUP8626,8.97,96.4,1,69994.89,0.927,5.38,0.922,0.959,3.9,97.07,6922.33,55801.65,8.3,2766.05,1.6,4.3,1.31,7472.53,15.23,4.7,2025-10-04T21:15:16.922027
SCM19623,2025-03-11T18:40:08,WH623,SUP8304,10.16,96.06,10,79409.96,0.967,8.03,0.905,0.977,4.0,89.84,14321.64,26152.82,11.19,16720.68,1.02,4.7,2.69,6074.51,17.88,4.7,2025-10-04T21:15:16.922083
SCM60621,2025-06-23T05:33:11,WH525,SUP7278,6.22,95.79,4,84538.16,0.943,8.98,0.904,0.965,4.0,95.35,19022.49,33182.08,6.57,7422.45,1.57,4.2,2.19,6908.5,12.19,5.0,2025-10-04T21:15:16.922138
SCM20996,2025-06-16T23:14:09,WH335,SUP6427,6.48,95.78,6,40335.84,0.944,8.37,0.899,0.981,4.7,90.75,31305.59,26467.38,8.85,6517.84,1.7,4.4,2.3,1441.77,17.62,4.1,2025-10-04T21:15:16.922195
SCM79429,2025-06-14T16:36:35,WH825,SUP5474,4.56,99.26,10,98714.77,0.985,3.25,0.918,0.964,3.6,87.9,13923.56,55839.87,11.28,13438.0,1.82,4.2,2.45,7335.59,8.85,4.0,2025-10-04T21:15:16.922251
SCM20943,2025-05-15T17:34:32,WH697,SUP6467,5.25,96.2,4,39593.18,0.964,6.07,0.904,0.961,4.3,88.23,8179.65,21711.07,11.89,17943.41,0.92,4.4,2.1,1446.78,7.34,4.9,2025-10-04T21:15:16.922311
SCM46991,2025-06-22T13:10:43,WH542,SUP6699,10.56,97.83,0,21816.11,0.939,4.32,0.943,0.966,4.1,90.1,46327.26,82050.58,7.08,5866.77,1.05,4.3,1.77,4134.78,22.65,3.4,2025-10-04T21:15:16.922368
SCM88574,2025-02-16T17:41:37,WH527,SUP2973,9.44,99.11,4,69024.32,0.98,2.9,0.91,0.959,3.5,87.39,31928.15,53134.73,9.93,19599.96,0.89,4.6,1.42,7792.39,6.77,4.5,2025-10-04T21:15:16.922425
SCM13505,2025-05-27T20:57:29,WH325,SUP7250,10.79,98.42,7,97639.81,0.974,9.21,0.921,0.962,3.9,97.58,48346.24,92430.27,7.61,15660.31,0.78,4.5,1.42,2954.36,11.8,4.9,2025-10-04T21:15:16.922481
SCM72948,2025-05-16T02:28:12,WH994,SUP8023,11.84,95.25,6,99624.5,0.969,5.46,0.898,0.972,4.2,90.45,35629.07,19327.26,8.86,11094.88,0.27,5.0,1.35,3229.95,13.0,3.3,2025-10-04T21:15:16.922537
SCM47276,2025-04-30T12:34:42,WH215,SUP9764,11.26,95.47,3,38658.52,0.958,8.9,0.89,0.984,4.8,89.53,10369.97,40562.99,11.01,5273.54,0.91,4.6,1.9,6941.06,24.32,3.1,2025-10-04T21:15:16.922592
SCM10068,2025-06-07T02:21:02,WH333,SUP5557,11.24,95.94,5,61121.53,0.945,5.23,0.903,0.977,4.7,95.09,20699.13,47024.85,11.8,3831.86,1.08,4.2,1.64,1332.79,18.41,3.7,2025-10-04T21:15:16.922648
SCM98670,2025-05-29T06:03:54,WH923,SUP6971,7.17,99.05,8,54524.79,0.935,2.98,0.957,0.959,3.8,96.29,38944.79,51252.06,8.92,16561.6,1.21,4.9,1.77,9541.28,5.19,4.6,2025-10-04T21:15:16.922704
SCM51809,2025-06-26T07:49:18,WH632,SUP4768,8.61,97.38,5,11196.7,0.976,4.81,0.909,0.988,4.7,87.95,14842.98,80255.84,6.65,10821.73,0.22,5.0,0.99,5627.91,14.58,3.1,2025-10-04T21:15:16.922766
SCM66544,2025-05-22T16:44:39,WH151,SUP2936,9.09,99.08,1,79392.02,0.953,3.66,0.928,0.974,4.1,88.99,16060.68,84230.99,9.99,3692.25,1.5,4.9,2.56,9113.25,17.96,3.7,2025-10-04T21:15:16.922823
SCM24419,2025-02-02T16:52:34,WH287,SUP9186,5.54,99.02,8,14268.55,0.974,3.29,0.933,0.96,3.7,91.05,23199.62,93586.93,7.47,8680.8,1.53,4.5,0.66,6703.44,17.9,3.8,2025-10-04T21:15:16.922879
SCM38272,2025-06-29T20:59:11,WH553,SUP6968,10.36,95.98,6,75947.62,0.948,4.26,0.881,0.959,4.3,88.49,25925.86,74397.45,11.68,17576.33,1.34,4.5,1.4,4948.1,18.86,4.1,2025-10-04T21:15:16.922934
SCM86487,2025-06-23T17:49:38,WH516,SUP3631,10.41,95.52,10,69764.27,0.978,6.36,0.954,0.964,4.0,95.06,19739.67,22340.94,11.34,10682.51,1.21,5.0,2.1,9593.67,6.22,4.1,2025-10-04T21:15:16.922990
SCM37212,2025-04-28T09:54:57,WH376,SUP3258,10.54,97.65,8,32685.68,0.977,9.48,0.954,0.987,4.6,85.47,20889.8,26264.96,11.6,5360.25,0.1,4.9,0.6,6404.37,11.26,3.2,2025-10-04T21:15:16.923053
SCM40788,2025-02-14T10:57:43,WH360,SUP8575,6.91,98.2,1,72365.41,0.987,7.83,0.898,0.969,4.7,96.12,28926.29,41656.59,11.07,10805.18,0.39,4.7,1.71,8412.97,14.23,4.6,2025-10-04T21:15:16.923110
SCM85198,2025-03-26T17:54:49,WH816,SUP5441,7.59,96.11,4,20874.44,0.922,3.22,0.888,0.986,4.2,87.56,30438.44,65178.96,6.54,10280.58,1.72,4.3,1.25,5640.26,14.99,4.4,2025-10-04T21:15:16.923170
SCM13030,2025-06-06T19:33:29,WH736,SUP1422,5.75,98.98,3,58066.69,0.938,7.93,0.919,0.97,4.2,85.39,26826.27,98026.83,9.71,12758.23,0.82,4.1,1.96,1880.81,24.74,4.0,2025-10-04T21:15:16.923226
SCM72344,2025-06-28T06:03:59,WH954,SUP9616,7.58,97.99,5,78191.75,0.989,2.24,0.951,0.958,4.2,86.66,41874.05,91123.69,6.92,18435.8,0.53,5.0,0.73,3019.18,21.04,3.2,2025-10-04T21:15:16.923282
SCM67360,2025-06-27T09:24:48,WH483,SUP9483,6.6,98.65,3,39445.7,0.969,3.25,0.921,0.958,4.8,92.68,19787.26,50378.98,7.22,8867.33,0.47,4.1,1.04,2891.22,6.78,3.4,2025-10-04T21:15:16.923338
SCM74509,2025-02-18T00:03:27,WH150,SUP9726,6.95,98.75,4,25544.66,0.978,3.69,0.91,0.985,3.8,94.76,31223.33,73568.55,8.81,17680.97,1.05,4.7,2.93,3079.17,11.06,3.8,2025-10-04T21:15:16.923393
SCM41762,2025-03-12T22:29:13,WH819,SUP7318,7.91,95.49,1,94327.62,0.932,5.57,0.911,0.953,3.6,90.95,31617.23,68769.4,9.22,15426.49,0.57,5.0,0.87,3290.79,6.55,4.0,2025-10-04T21:15:16.923449
SCM43452,2025-02-16T13:51:19,WH909,SUP9330,9.63,95.35,3,66414.52,0.924,8.59,0.968,0.967,3.9,97.93,23299.51,34943.29,8.5,12239.5,0.17,4.1,2.67,8256.63,21.77,3.0,2025-10-04T21:15:16.923505
SCM79495,2025-03-13T19:07:04,WH606,SUP5420,10.93,96.74,0,41194.83,0.954,5.54,0.963,0.979,4.3,88.69,30928.27,83870.32,10.75,14332.17,1.77,4.2,2.01,3217.05,17.65,4.6,2025-10-04T21:15:16.923564
SCM61365,2025-04-17T21:28:26,WH123,SUP6568,9.09,97.99,6,36721.61,0.966,4.79,0.933,0.961,3.6,96.3,19758.45,44441.94,7.62,12310.26,0.65,4.4,1.82,2552.76,10.45,3.4,2025-10-04T21:15:16.923621
SCM80522,2025-05-28T16:46:37,WH493,SUP3989,8.58,96.3,0,39470.75,0.983,4.37,0.936,0.952,4.8,90.23,19811.75,41199.67,11.61,2875.21,0.78,4.5,0.93,2488.72,7.45,5.0,2025-10-04T21:15:16.923677
SCM11825,2025-05-09T00:41:31,WH152,SUP2282,8.27,95.09,3,34363.2,0.935,6.66,0.917,0.962,4.2,90.79,48173.17,93606.82,11.13,2770.95,1.25,4.7,2.42,2508.27,15.99,4.6,2025-10-04T21:15:16.923762
SCM19306,2025-03-22T13:07:07,WH502,SUP6457,7.27,98.44,7,25451.99,0.929,3.32,0.893,0.983,3.5,87.27,24645.98,82495.64,6.48,2385.0,1.39,4.7,1.49,2806.96,22.61,3.9,2025-10-04T21:15:16.923825
SCM63278,2025-05-15T09:16:26,WH946,SUP1926,6.36,99.44,0,49701.73,0.927,3.66,0.924,0.955,4.0,90.54,23178.15,52988.92,6.89,4414.38,1.21,4.5,1.99,2900.21,11.95,3.7,2025-10-04T21:15:16.923883
SCM26288,2025-03-24T04:21:59,WH640,SUP8065,7.85,97.15,2,19797.59,0.973,2.36,0.887,0.967,4.6,87.48,19196.84,77446.86,7.81,17474.06,1.72,4.9,1.17,1760.4,8.81,4.7,2025-10-04T21:15:16.923944
SCM34189,2025-02-26T13:51:48,WH172,SUP3068,6.32,96.17,9,87974.82,0.985,4.78,0.901,0.984,4.0,89.19,18572.69,32496.32,11.01,8929.64,1.6,4.1,2.72,7323.16,15.23,3.6,2025-10-04T21:15:16.924001
SCM86899,2025-03-13T03:12:32,WH434,SUP6492,11.11,97.99,2,39123.98,0.981,4.99,0.965,0.975,4.7,90.08,46987.09,16051.84,9.3,17014.27,1.69,4.4,1.13,9273.3,21.27,5.0,2025-10-04T21:15:16.924056
SCM80557,2025-04-16T04:41:32,WH874,SUP5949,5.1,98.98,10,20843.57,0.969,7.1,0.955,0.989,3.6,88.14,36019.58,53936.25,11.28,9917.39,1.81,4.9,2.64,3457.96,5.69,5.0,2025-10-04T21:15:16.924112
SCM95950,2025-05-17T10:18:14,WH872,SUP3754,6.13,97.7,10,17715.66,0.96,5.44,0.924,0.972,5.0,95.21,45361.21,59159.37,7.57,17870.84,1.34,4.8,2.69,1408.15,7.02,4.7,2025-10-04T21:15:16.924168
SCM50111,2025-02-09T09:49:39,WH738,SUP5268,9.92,97.67,1,17528.88,0.984,7.96,0.916,0.98,3.6,86.57,48687.3,42370.04,8.68,15086.16,1.61,4.3,1.34,2515.17,11.83,4.4,2025-10-04T21:15:16.924227
SCM23253,2025-03-11T14:11:12,WH867,SUP5215,6.88,96.5,9,71034.04,0.979,9.77,0.958,0.968,4.0,93.43,23673.24,48091.72,11.35,17318.76,0.31,4.8,0.99,5311.24,7.97,4.4,2025-10-04T21:15:16.924291
SCM36360,2025-03-17T09:12:12,WH842,SUP6242,10.89,98.67,7,15507.7,0.983,2.88,0.898,0.964,4.5,87.35,41100.45,16550.4,10.06,4311.01,0.4,4.7,1.01,5207.76,15.78,3.7,2025-10-04T21:15:16.924359
SCM92735,2025-05-26T18:56:00,WH852,SUP6971,5.89,98.12,7,34435.64,0.95,4.54,0.893,0.965,3.7,85.22,24304.08,30593.73,8.97,15264.61,1.1,4.6,2.61,3300.4,22.02,3.1,2025-10-04T21:15:16.924417
SCM72775,2025-02-14T20:46:44,WH827,SUP3336,10.99,98.37,9,94184.68,0.928,7.47,0.884,0.964,4.9,87.53,49736.91,53839.18,7.83,7548.97,1.58,4.1,1.46,3427.46,10.15,3.5,2025-10-04T21:15:16.924473
SCM91656,2025-03-05T02:04:03,WH896,SUP7616,10.66,95.61,1,52708.79,0.984,7.03,0.909,0.983,3.7,95.1,20123.17,97235.72,7.39,10229.99,0.16,4.0,2.45,4514.07,17.05,4.1,2025-10-04T21:15:16.924529
SCM95107,2025-06-26T15:56:17,WH705,SUP9744,4.04,98.27,1,50638.76,0.96,2.1,0.945,0.964,4.8,90.53,24934.73,42046.21,8.46,8985.16,1.16,4.8,0.78,7996.17,13.19,3.1,2025-10-04T21:15:16.924585
SCM93912,2025-02-03T17:24:12,WH468,SUP1528,5.55,95.06,4,43825.17,0.971,9.69,0.902,0.956,4.4,92.05,14392.13,37843.11,6.42,16911.0,0.8,4.1,0.66,8786.36,6.21,3.5,2025-10-04T21:15:16.924640
SCM40602,2025-04-09T10:36:53,WH883,SUP7953,4.73,96.75,0,45109.69,0.935,7.47,0.915,0.968,4.5,88.78,25789.8,52628.06,6.59,4365.39,0.6,4.8,0.74,5397.16,10.02,4.0,2025-10-04T21:15:16.924697
SCM84505,2025-04-19T12:30:13,WH718,SUP8264,7.43,98.61,1,40648.82,0.933,5.6,0.907,0.952,4.9,93.87,12318.22,96689.38,7.1,14012.15,1.44,4.5,2.43,6823.09,16.37,3.2,2025-10-04T21:15:16.924758
SCM85188,2025-06-29T20:07:20,WH341,SUP3059,6.71,95.22,2,63437.91,0.954,5.18,0.934,0.955,4.9,94.57,46015.12,64580.78,6.05,2978.85,0.23,4.7,0.97,7153.63,10.47,3.3,2025-10-04T21:15:16.924815
SCM43471,2025-05-26T23:19:34,WH309,SUP5350,6.92,99.44,6,82949.47,0.974,9.15,0.922,0.972,4.8,92.3,22147.58,87784.76,7.81,8727.12,1.43,4.7,1.69,5192.02,20.74,3.2,2025-10-04T21:15:16.924871
SCM10683,2025-05-12T22:37:41,WH256,SUP2412,8.8,98.96,1,73840.5,0.935,2.04,0.937,0.967,4.7,86.1,29784.61,87799.55,6.1,15220.6,0.95,4.7,2.26,4914.72,19.68,4.9,2025-10-04T21:15:16.924926
SCM55662,2025-02-21T05:56:29,WH624,SUP2046,6.1,96.55,9,41152.47,0.982,4.44,0.896,0.986,4.8,93.39,27805.48,62545.71,11.49,11853.96,0.52,4.8,0.7,4126.67,11.38,4.6,2025-10-04T21:15:16.924982
SCM34262,2025-05-10T21:18:09,WH669,SUP1208,11.99,99.2,4,61355.89,0.932,9.13,0.913,0.967,4.5,97.43,8005.46,22499.0,11.78,18205.31,1.03,4.6,1.94,2509.21,15.31,4.1,2025-10-04T21:15:16.925037
